	Concurso	Data	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Arrecadacao	Ganhadores	Numero1	Numero2	Numero3	Numero4	Numero5	Numero6	Numero7	Numero8	Numero9	Numero10	Numero11	NUmero12	Numero13	Numero14	Numero15										
1	25	15/03/2004	4	23	20	2	5	13	7	9	24	3	1	6	14	22	16	0	0	1	2	3	4	5	6	7	#N/A	9	#N/A	#N/A	#N/A	13	14	#N/A	16	#N/A	#N/A	#N/A	20	#N/A	22	23	24	#N/A
1	26	22/03/2004	19	11	7	16	8	21	5	10	20	13	23	9	17	14	22	0	3	#N/A	#N/A	#N/A	#N/A	5	#N/A	7	8	9	10	11	#N/A	13	14	#N/A	16	17	#N/A	19	20	21	22	23	#N/A	#N/A
1	27	29/03/2004	25	6	22	21	11	24	3	14	12	13	20	8	10	15	18	0	2	#N/A	#N/A	3	#N/A	#N/A	6	#N/A	8	#N/A	10	11	12	13	14	15	#N/A	#N/A	18	#N/A	20	21	22	#N/A	24	25
1	28	05/04/2004	18	21	11	7	9	3	20	16	14	12	13	17	1	19	10	0	2	1	#N/A	3	#N/A	#N/A	#N/A	7	#N/A	9	10	11	12	13	14	#N/A	16	17	18	19	20	21	#N/A	#N/A	#N/A	#N/A
1	29	12/04/2004	13	14	6	1	24	4	8	5	17	22	21	19	20	9	16	0	5	1	#N/A	#N/A	4	5	6	#N/A	8	9	#N/A	#N/A	#N/A	13	14	#N/A	16	17	#N/A	19	20	21	22	#N/A	24	#N/A
1	30	19/04/2004	22	2	1	17	8	4	19	20	11	14	6	21	7	23	3	0	2	1	2	3	4	#N/A	6	7	8	#N/A	#N/A	11	#N/A	#N/A	14	#N/A	#N/A	17	#N/A	19	20	21	22	23	#N/A	#N/A
1	31	26/04/2004	1	3	22	14	21	17	24	15	20	13	2	19	4	25	9	0	3	1	2	3	4	#N/A	#N/A	#N/A	#N/A	9	#N/A	#N/A	#N/A	13	14	15	#N/A	17	#N/A	19	20	21	22	#N/A	24	25
1	32	03/05/2004	10	14	9	16	15	7	22	6	4	2	1	17	23	11	20	0	2	1	2	#N/A	4	#N/A	6	7	#N/A	9	10	11	#N/A	#N/A	14	15	16	17	#N/A	#N/A	20	#N/A	22	23	#N/A	#N/A
1	33	10/05/2004	8	20	12	16	10	21	5	2	23	19	11	24	1	14	7	0	9	1	2	#N/A	#N/A	5	#N/A	7	8	#N/A	10	11	12	#N/A	14	#N/A	16	#N/A	#N/A	19	20	21	#N/A	23	24	#N/A
1	34	17/05/2004	7	19	16	10	23	4	18	11	8	9	20	21	1	2	15	0	0	1	2	#N/A	4	#N/A	#N/A	7	8	9	10	11	#N/A	#N/A	#N/A	15	16	#N/A	18	19	20	21	#N/A	23	#N/A	#N/A
1	35	24/05/2004	12	1	13	23	19	21	17	11	22	6	25	16	14	5	4	0	1	1	#N/A	#N/A	4	5	6	#N/A	#N/A	#N/A	#N/A	11	12	13	14	#N/A	16	17	#N/A	19	#N/A	21	22	23	#N/A	25
1	36	31/05/2004	7	23	10	20	1	21	4	8	11	19	17	22	24	14	5	0	6	1	#N/A	#N/A	4	5	#N/A	7	8	#N/A	10	11	#N/A	#N/A	14	#N/A	#N/A	17	#N/A	19	20	21	22	23	24	#N/A
1	37	07/06/2004	24	20	5	15	10	22	21	3	1	23	11	4	13	8	9	0	1	1	#N/A	3	4	5	#N/A	#N/A	8	9	10	11	#N/A	13	#N/A	15	#N/A	#N/A	#N/A	#N/A	20	21	22	23	24	#N/A
1	38	14/06/2004	14	13	8	16	1	10	3	7	15	25	9	2	24	6	22	0	0	1	2	3	#N/A	#N/A	6	7	8	9	10	#N/A	#N/A	13	14	15	16	#N/A	#N/A	#N/A	#N/A	#N/A	22	#N/A	24	25
1	39	21/06/2004	14	15	7	19	8	9	22	17	23	18	2	11	24	13	21	0	3	#N/A	2	#N/A	#N/A	#N/A	#N/A	7	8	9	#N/A	11	#N/A	13	14	15	#N/A	17	18	19	#N/A	21	22	23	24	#N/A
1	40	28/06/2004	10	17	16	12	14	24	8	7	5	20	21	1	13	2	22	0	9	1	2	#N/A	#N/A	5	#N/A	7	8	#N/A	10	#N/A	12	13	14	#N/A	16	17	#N/A	#N/A	20	21	22	#N/A	24	#N/A
1	41	05/07/2004	25	4	23	18	17	19	15	13	9	3	12	20	21	16	2	0	5	#N/A	2	3	4	#N/A	#N/A	#N/A	#N/A	9	#N/A	#N/A	12	13	#N/A	15	16	17	18	19	20	21	#N/A	23	#N/A	25
1	42	12/07/2004	1	24	12	25	4	3	21	8	11	6	15	22	14	17	5	0	1	1	#N/A	3	4	5	6	#N/A	8	#N/A	#N/A	11	12	#N/A	14	15	#N/A	17	#N/A	#N/A	#N/A	21	22	#N/A	24	25
1	43	19/07/2004	23	22	3	17	1	24	14	19	8	6	9	18	20	7	10	0	2	1	#N/A	3	#N/A	#N/A	6	7	8	9	10	#N/A	#N/A	#N/A	14	#N/A	#N/A	17	18	19	20	#N/A	22	23	24	#N/A
1	44	26/07/2004	23	21	12	19	5	4	6	13	14	10	3	18	24	11	25	0	0	#N/A	#N/A	3	4	5	6	#N/A	#N/A	#N/A	10	11	12	13	14	#N/A	#N/A	#N/A	18	19	#N/A	21	#N/A	23	24	25
1	45	02/08/2004	1	23	14	16	2	19	18	7	21	9	24	25	17	5	3	0	4	1	2	3	#N/A	5	#N/A	7	#N/A	9	#N/A	#N/A	#N/A	#N/A	14	#N/A	16	17	18	19	#N/A	21	#N/A	23	24	25
1	46	09/08/2004	6	14	8	11	24	18	19	23	2	5	4	21	10	1	25	0	4	1	2	#N/A	4	5	6	#N/A	8	#N/A	10	11	#N/A	#N/A	14	#N/A	#N/A	#N/A	18	19	#N/A	21	#N/A	23	24	25
1	47	16/08/2004	6	8	25	18	20	5	11	10	15	13	4	22	3	2	1	0	16	1	2	3	4	5	6	#N/A	8	#N/A	10	11	#N/A	13	#N/A	15	#N/A	#N/A	18	#N/A	20	#N/A	22	#N/A	#N/A	25
